section,division,group,class,subclass,text_of,text
A,01,014,0146,,class,Raising of poultry
A,01,014,0146,01461,subclass,"Raising and breeding of chickens and capons, ducks, geese, turkeys and guinea fowls chickens and capons, ducks, geese, turkeys and guinea fowls"
A,01,014,0146,01462,subclass,Production of eggs
A,01,014,0146,01463,subclass,Operation of poultry hatcheries
A,01,014,0149,,class,Raising of other animals
A,01,014,0149,01491,subclass,"Raising and breeding of pet animals (cats, dogs, birds, hamsters etc.)"
A,01,014,0149,01492,subclass,Bee-keeping and production of honey and beeswax
A,01,014,0149,01493,subclass,"Raising of silk worms, production of silk worm cocoons"
A,01,014,0149,01499,subclass,"Raising of other animals, n.e.c."
A,01,015,,,group,Mixed farming
A,01,015,0150,,class,Mixed farming
A,01,015,0150,01500,subclass,Mixed farming
A,01,016,,,group,Support activities to agriculture and post-harvest crop activities
A,01,016,0161,,class,Support activities for crop production
A,01,016,0161,01611,subclass,"Agricultural activities on a fee or contract basis (preparation of fields, establishing a crop, treatment of crops, crop spraying, trimming of fruit trees and vines, transplanting of rice, thinning of beets, harvesting, pest control in connection wit"
A,01,016,0161,01612,subclass,Operation of agricultural irrigation equipment
A,01,016,0161,01619,subclass,Other supporting activities including agricultural gardening (excluding
A,01,016,0162,,class,Support activities for animal production
A,01,016,0162,01620,subclass,Support activities for animal production
A,01,016,0163,,class,Post-harvest crop activities
A,01,016,0163,01631,subclass,"Preparation of crops for primary markets, i.e. cleaning, trimming, grading, disinfecting"
A,01,016,0163,01632,subclass,"Cotton ginning, cleaning and bailing"
A,01,016,0163,01633,subclass,Preparation of tobacco leaves
A,01,016,0163,01639,subclass,"Other post harvest crop activities, n.e.c."
A,01,016,0164,,class,Seed processing for propagation
A,01,016,0164,01640,subclass,Seed processing for propagation
A,01,017,,,group,"Hunting, trapping and related service activities"
A,01,017,0170,,class,"Hunting, trapping and related service activities"
A,01,017,0170,01700,subclass,"Hunting, trapping and related service activities"
A,02,,,,division,Forestry and logging
A,02,021,,,group,Silviculture and other forestry activities
A,02,021,0210,,class,Silviculture and other forestry activities
A,02,021,0210,02101,subclass,"Growing of standing timber (planting, replanting, transplanting, thinning and conserving of forests and timber tracts)"
A,02,021,0210,02102,subclass,Operation of forest tree nurseries
A,02,021,0210,02109,subclass,"Other foresty activities including growing of pulpwood,firewood etc"
A,02,022,,,group,Logging
A,02,022,0220,,class,Logging
A,02,022,0220,02201,subclass,Gathering and preparation of fire wood
A,02,022,0220,02202,subclass,"Logging camps and loggers primarily engaged in felling timber and producing wood in the rough such as pitprops, split poles, pickets, hewn railway ties"
A,02,022,0220,02203,subclass,Production of charcoal in the forest (using traditional methods)
A,02,022,0220,02209,subclass,"Other logging activities, n.e.c."
A,02,023,,,group,Gathering of non-wood forest products
A,02,023,0230,,class,Gathering of non-wood forest products
A,02,023,0230,02301,subclass,Gathering of tendu leaves
A,02,023,0230,02302,subclass,"Gathering of lac, resins and rubber-like gums"
A,02,023,0230,02303,subclass,"Gathering of wild growing mushrooms, truffles, berries, nuts, cork, balsams, vegetable hair, eelgrass, mosses, lichens"
A,02,023,0230,02309,subclass,"Gathering of non-wood forest products, n.e.c."
A,02,024,,,group,Support services to forestry
A,02,024,0240,,class,Support services to forestry
A,02,024,0240,02401,subclass,"Forestry service activities (forest management consulting services, forestry inventories, timber evaluation, forest pest control)"
A,02,024,0240,02402,subclass,Logging service activities such as transport of logs within the forest
A,03,,,,division,Fishing and aquaculture
A,03,031,,,group,Fishing
A,03,031,0311,,class,Marine fishing
A,03,031,0311,03111,subclass,Fishing on a commercial basis including taking of marine crustaceans and molluscs in ocean and coastal waters
A,03,031,0311,03112,subclass,"Gathering of other marine organisms and materials such as natural pearls, sponges, coral and algae"
A,03,031,0311,03113,subclass,Activities of vessels engaged in fishing and in processing and preserving of fish
A,03,031,0312,,class,Freash water fishing
A,03,031,0312,03121,subclass,Fishing and taking of freshwater crustaceans and molluscs on a commercial basis in inland waters
A,03,031,0312,03122,subclass,Taking and gathering of freshwater aquatic animals
A,03,032,,,group,Aquaculture
A,03,032,0321,,class,Marine aquaculture
A,03,032,0321,03211,subclass,Fish farming in sea water including farming of marine ornamental fish
A,03,032,0321,03212,subclass,"Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water"
A,03,032,0321,03213,subclass,Growing of edible seaweeds
A,03,032,0321,03214,subclass,Aquaculture activities in brackish waters and in salt water filled tanks or reservoirs
A,03,032,0321,03215,subclass,Operation of fish hatcheries (marine)
A,03,032,0321,03219,subclass,"Other marine aquaculture, n.e.c."
